run#,time,req/s,cpu,mem
319761,1370.09,12.41,NaN,NaN
319762,1368.25,12.42,NaN,NaN
319763,1375.36,12.36,NaN,NaN
319764,1548.43,10.98,NaN,NaN
319765,1389.06,12.24,NaN,NaN
319766,1326.14,12.82,NaN,NaN
319767,1378.79,12.33,NaN,NaN
319768,1368.51,12.42,NaN,NaN
319769,1324.00,12.84,NaN,NaN
319770,1334.98,12.73,NaN,NaN
319771,1427.53,11.91,NaN,NaN
319772,1581.84,10.75,NaN,NaN
319773,1413.47,12.03,NaN,NaN
319774,1377.30,12.34,NaN,NaN
319775,1384.14,12.28,NaN,NaN
319776,1364.53,12.46,NaN,NaN
319777,1336.85,12.72,NaN,NaN
319778,1525.01,11.15,NaN,NaN
319779,1375.36,12.36,NaN,NaN
319780,1362.79,12.47,NaN,NaN
319781,1369.59,12.41,NaN,NaN
319782,1379.09,12.33,NaN,NaN
319783,1353.93,12.56,NaN,NaN
319784,1332.53,12.76,NaN,NaN
319785,1284.56,13.23,NaN,NaN
319786,1350.25,12.59,NaN,NaN
319787,1337.93,12.71,NaN,NaN
319788,1344.58,12.64,NaN,NaN
319789,1446.39,11.75,NaN,NaN
319790,1330.06,12.78,NaN,NaN
319791,1316.08,12.92,NaN,NaN
319792,1344.93,12.64,NaN,NaN
319793,1304.49,13.03,NaN,NaN
319794,1429.17,11.89,NaN,NaN
319795,1291.76,13.16,NaN,NaN
319796,1347.63,12.61,NaN,NaN
319797,1369.15,12.42,NaN,NaN
319798,1364.65,12.46,NaN,NaN
319799,1444.40,11.77,NaN,NaN
319800,1330.43,12.78,NaN,NaN
319801,1340.63,12.68,NaN,NaN
319802,1329.56,12.79,NaN,NaN
319803,1393.64,12.20,NaN,NaN
319804,1408.71,12.07,NaN,NaN
319805,1479.05,11.49,NaN,NaN
319806,1329.40,12.79,NaN,NaN
319807,1361.27,12.49,NaN,NaN
319808,1338.00,12.71,NaN,NaN
319809,1449.76,11.73,NaN,NaN
319810,1288.62,13.19,NaN,NaN
319811,1281.45,13.27,NaN,NaN
319812,1379.11,12.33,NaN,NaN
319813,1438.68,11.82,NaN,NaN
319814,1341.82,12.67,NaN,NaN
319815,1310.22,12.97,NaN,NaN
319816,1294.03,13.14,NaN,NaN
319817,1400.94,12.13,NaN,NaN
319818,1581.72,10.75,NaN,NaN
319819,1414.18,12.02,NaN,NaN
319820,1338.88,12.70,NaN,NaN
319821,1389.02,12.24,NaN,NaN
319822,1355.34,12.54,NaN,NaN
319823,1424.57,11.93,NaN,NaN
319824,1450.77,11.72,NaN,NaN
319825,1451.26,11.71,NaN,NaN
319826,1310.42,12.97,NaN,NaN
319827,1309.46,12.98,NaN,NaN
319828,1379.52,12.32,NaN,NaN
319829,1391.64,12.22,NaN,NaN
319830,1325.52,12.83,NaN,NaN
319831,1325.31,12.83,NaN,NaN
319832,1316.79,12.91,NaN,NaN
319833,1307.91,13.00,NaN,NaN
319834,1361.59,12.49,NaN,NaN
319835,1356.01,12.54,NaN,NaN
319836,1367.29,12.43,NaN,NaN
319837,1354.94,12.55,NaN,NaN
319838,1518.05,11.20,NaN,NaN
319839,1307.52,13.00,NaN,NaN
319840,1340.63,12.68,NaN,NaN
319841,1378.73,12.33,NaN,NaN
319842,1314.05,12.94,NaN,NaN
319843,1333.52,12.75,NaN,NaN
319844,1399.84,12.14,NaN,NaN
319845,1350.79,12.59,NaN,NaN
319846,1424.45,11.93,NaN,NaN
319847,1502.38,11.32,NaN,NaN
